번호,유형,직무,초기 복합 사건,주입1,선택1·재료,주입2,선택2·재료,첫 전개 도달 상태,첫 판정,보완 후 재전개,최종 판정,검토 방식
085,고용형,콘텐츠 마케팅,유입이 많은 글들이 같은 초급 주제를 반복하고 상담 고객은 구매에 필요한 비교·도입 질문에 답을 못 얻음,유입은 높은데 구매 비교 질문에 답할 자료가 없음,M18·M34: 고객 여정·반복 주제·필수 비교 정보 재정의,영업 확인 자료가 들어와 도입·비용·한계 콘텐츠 작성 가능,M09·M25·M42: 중복 글 통합·근거·다음 행동 검수,제공된 자료 아래 콘텐츠 재편·납품 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
086,고용형,CRM,할인 메시지로 재구매가 늘었지만 원래 구매할 고객에게 쿠폰이 나가고 수신거부·중복고객 문제도 생김,중복 고객ID와 수신거부가 쿠폰 여정에 남음,M52·M31: 식별·동의·혜택 상태를 정리,모의 대조군에서 할인 없이 구매할 고객군의 쿠폰 효과 없음,M53·M54·M10: 제외·빈도·혜택안을 수정하고 재발송 방지,주어진 동의·실험 데이터 아래 CRM 수정 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
087,고용형,홍보,제품 사고 제보가 확산되는데 법무·품질·영업의 사실 설명이 다르고 기자는 즉시 답변을 요구함,새 사고 제보가 최초 회사 입장과 충돌,M18·M38: 확인 사실·미확인·정정할 표현 구분,조사 결과는 늦지만 기자는 즉답 요구,M08·M31·M35: 확인 가능한 조치·대기 내용·정정 계획만 공개,"응대·정정 경로 가능, 사고 사실·외부 반응은 계속 추적",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
088,고용형,영업 (B2B 신규 개척),현업은 제품을 원하지만 보안·구매·재무가 반대하고 경쟁사는 저가를 제시해 고객맞춤 기능을 무리하게 약속할 유인이 생김,"보안팀은 핵심 요구 미충족, 영업은 맞춤개발을 약속하려 함",M35·M53: 구매 문제·검증·이행비를 재구성,고객은 검증 전 확정 계약과 무상 개발을 고수,M33·M38: 권한·역량 한도 안의 제안만 비교,현 조건에서 수주·이행·수익 동시 충족 불가,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
089,고용형,영업 (B2B 기존·키어카운트),큰 고객이 장애 보상을 요구하며 갱신을 보류하고 계열사 통합 할인과 아직 없는 기능을 동시에 요구함,장애 보상과 계열사 할인을 합치면 계정 이익이 음수,M33·M53: 갱신·지원·개발 약속을 합산,고객이 범위 축소·가격 조정을 모두 거부,M34·M38: 유지·철수·대체 범위의 효과 제시,기존 범위·가격으로 수익 있는 갱신 불가능,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
090,고용형,기술영업 (프리세일즈),고객 폐쇄망에서 데모는 성공했으나 실제 데이터량·인증·복구 요구를 만족하지 못하고 입찰 마감이 다가옴,실제 부하에서 지연 목표를 넘고 복구가 실패,M10·M54: 데모 합격을 취소하고 병목·환경 차이 분리,증설·범위 축소 후 모의 PoC가 대표 부하·복구를 통과,M35·M42·M40: 충족·미충족 요구와 최종 구성·인수 조건 기록,주어진 PoC 증거 아래 기술제안 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
091,고용형,해외영업,바이어가 결제방식·인도조건을 바꾸고 운임·환율·수입허가가 흔들려 수주액은 커도 회수·납기 위험이 커짐,환율·인도조건 변경으로 회수 위험과 비용이 증가,M53·M38: 결제·운송·인도 조건별 대안 비교,바이어가 일부 조건을 수락하나 수입허가·은행 확인 대기,M35·M39: 승인·선적·회수 선행조건 연결,"수출 계약·실행 계획 가능, 기관·바이어 이행은 외부 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
092,고용형,영업관리,분기 말 취소 가능한 주문을 확정 매출처럼 올리고 반품·미수·중복 실적 때문에 팀 보상과 생산계획이 왜곡됨,취소가능 주문이 확정 매출·성과급에 포함,M25·M52: 수주·출하·매출·수금 상태를 다시 대사,모의 반품·입금 자료가 수정 실적을 확인,M53·M42: 생산예측·보상·미수 대장 전파,제공된 기록 아래 실적·정산 정정 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
093,고용형,고객성공,계약 담당자가 퇴사하고 이용자는 교육을 마쳤지만 핵심 업무를 수행하지 못해 갱신 직전 성과가 없다는 불만이 나옴,고객 사용률은 높지만 핵심 결산 과업 수행 실패,M17·M38: 접속 지표 대신 실제 업무 장애·목표 확인,"제품 수정과 교육 계획에는 동의, 실제 다음 결산은 미도래",M35·M51: 정착 계획과 과업·성과 관찰 시점 설정,"성공계획은 가능, 고객 성과·갱신 판단 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
094,고용형,PM·PO (B2C 앱),가입률을 올린 개편이 취소·환불·장기 이탈을 늘리고 실험군 오염과 계절 효과로 원인 판단이 어려움,가입 상승과 환불·장기 이탈 증가가 동시에 관측,M52·M54: 배정·추적 오류·집단 구성 재검토,정정한 모의 실험에서 변경안의 순효과가 음수,M34·M35: 기존안 복원·측정 수정·후속 가설 선택,주어진 실험 아래 출시·철회 결정 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
095,고용형,PM·PO (B2B SaaS),대형 고객의 특수 승인·권한 요구가 기존 테넌트 모델과 충돌하고 계약 마감 때문에 제품을 고객별로 분기할 압력이 생김,대형 고객 예외 권한이 공통 테넌트 격리를 깨뜨림,M25·M31·M35: 확장점·공통 모델·계약 조건 재설계,일정·개발비 고정에 고객별 코드분기 금지도 함께 요구,M33·M53: 현실 작업량과 조건의 양립 여부 확인,"모든 요구 동시 충족 불가, 일정·범위·비용 조정 필요",목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
096,고용형,PMO,세 프로젝트가 같은 전문가·공급사를 쓰며 각 일정표는 정상인데 통합 출시일과 규제 마감은 동시에 달성 불가함,세 프로젝트가 같은 전문가의 같은 시간대를 예약,M25·M53: 개별 일정 대신 통합 자원 제약 계산,"총 26시간 필수 작업에 가용시간 16, 외주·연장·범위 축소 불허",M35·M34: 일정 불가능 증거와 선택 가능한 변경 항목 제시,원래 마감·범위 동시 달성 불가능,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
097,고용형,게임 기획 (시스템·경제),복귀 보상과 거래 이벤트를 악용한 다계정이 재화를 증식시키고 정상 유저의 성장·시장가격까지 무너뜨림,경제 악용 여부를 알아야 실험 기능이 켜지지만 악용 판별에 그 실험이 필요,M35·M54: 조건 판정에 쓰는 실험과 패치 실행의 활성 조건을 분리할 필요 확인,단순 구현은 불명 조건을 대기로 보내 탐지가 진행되지 않음,M25·M50: 진단용 선행 의존과 실행 허가를 따로 조립해야 함,조건 판정 의존의 명시 강화 필요,조건 명세 강화 필요,"가정 응답: 허용된 경제 진단이 복제 경로를 확인하고, 보정안 모의실험이 재화 불변조건·정상 이용자 조건을 통과. 진단→패치 검증→인수 경로로 전개.",범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
098,고용형,MD (온라인),할인 행사 매출이 늘지만 광고비·반품·품절 대체·쿠폰 중복 때문에 실제 공헌이익은 감소함,행사 매출 상승에도 반품·광고·쿠폰 비용으로 공헌이익 하락,M52·M53: SKU별 순이익·재고·귀속을 재계산,모의 수요에서 묶음·혜택 조정안이 재고·마진 조건 충족,M34·M10·M42: 행사·발주·가격 변경과 정산 확인,제공된 수요·비용 아래 MD 실행안 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
099,고용형,MD (오프라인 매입),계절상품을 대량 매입했는데 상권별 수요가 갈리고 반품권·진열비·후속 공급 조건 때문에 단순 할인으로 해결되지 않음,같은 상품의 매장별 수요가 갈리고 반품권은 일부만 존재,M25·M53: 가용·이동·반품·할인 비용을 비교,공급사·점포가 이동·반품 조건을 수락,M35·M40: 물량·일정·검수·정산으로 연결,제공된 합의·수요 아래 매입·소진 계획 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
100,고용형,구매 (직접재·자재),핵심 부품 업체가 중단돼 대체품을 구했으나 도면 공차·인증·금형 소유와 생산 승인 때문에 즉시 투입할 수 없음,대체부품 치수는 맞지만 재질·승인 조건이 다름,M21·M54: 도면·시험·양산 승인 요건 재정의,공급사는 시험성적서 원본을 제공하지 못함,M18·M35·M39: 추가 시험·검증·납기 대안 연결,"대체 소싱안 가능, 실물 적합성과 승인 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
101,고용형,구매 (간접재·서비스),최저가 IT 외주 제안이 데이터 이전·운영지원·사용권을 제외해 계약 후 비용과 종속성이 급증할 가능성이 있음,최저가 제안이 이전·운영·사용권을 제외,M18·M53: 비교 범위를 정규화하고 생애비용 재산정,공급사가 추가 비용·종료·검수 조건을 명확히 제시,M38·M35·M40: 비교 평가·협상·인수 조건 확정,주어진 제안·합의 아래 구매 결정안 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
102,고용형,풀스택,결제·권한·화면을 함께 바꾸는 출시에서 구버전 클라이언트와 데이터 이전이 겹쳐 중복 결제와 정보 노출이 발생할 수 있음,구버전 요청이 새 스키마와 충돌하고 중복 결제 재현,M25·M35: 호환·멱등·전환 단계를 분리,모의 통합시험에서 구버전·동시 취소·복구가 수정 후 통과,M10·M42·M40: 코드·전환·배포·인수 증거 연결,제공된 시험 응답 아래 통합 출시 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
103,고용형,프론트엔드,느린 망과 보조기술에서 결제 폼 오류가 숨고 재시도 때 중복 요청되며 다국어 문장이 레이아웃을 깨뜨림,느린 망·스크린리더에서 오류 알림 누락과 중복 제출,M25·M42: 상태·포커스·요청 제어·텍스트 확장 수정,모의 브라우저 과업시험이 중단·재시도·오류 복구 통과,M54·M40: 과업과 기기·환경별 인수 기록,제공된 과업시험 아래 프론트엔드 인수 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
104,고용형,백엔드,결제 응답 유실·동시 취소·메시지 재전송이 겹쳐 결제사와 주문·재고 상태가 서로 달라짐,외부 결제 성공과 주문 실패가 동시에 확인,M10·M25: 부분 성공으로 기록하고 재결제 금지,외부 조회에서 성공 영수증·재고 미차감이 확인,M35·M42: 보상 또는 주문 복원 경로를 선택해 불변조건 대사,주어진 조회·보상 응답 아래 거래 일관성 복구 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
105,고용형,모바일,오프라인 편집 중 계정이 바뀌고 앱이 강제 종료된 뒤 구버전이 재접속해 데이터 충돌·다른 계정 노출이 생김,오프라인 변경 후 계정 전환·앱 중단 발생,M25·M31: 로컬 자료·동기화·계정 경계 분리,모의 실기기 재개에서 충돌 정책·삭제·구버전 호환 통과,M54·M42·M40: 계정별 복원·업데이트 인수,제공된 기기 응답 아래 모바일 수정 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
106,고용형,게임 개발,네트워크 지연 중 아이템 거래와 전투 보상이 겹쳐 복제가 생기고 패치가 기존 저장과 저사양 성능을 깨뜨림,지연 재전송으로 아이템 복제와 저장 이전 오류 발견,M25·M35: 권위 상태·거래·저장 형식 수정,모의 지연·재접속·구세이브·실플레이 검수 통과,M54·M42: 경제·성능·호환 영향과 패치 검증,제공된 게임 시험 아래 패치 인수 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
107,고용형,임베디드·펌웨어,전원 불안정 중 펌웨어 갱신과 센서 오류가 겹쳐 장치가 부팅 불능이거나 잘못된 출력 상태에 머물 수 있음,갱신 도중 전원 차단과 센서 오류가 동시 발생,M25·M35·M54: 부트·갱신·출력 상태별 복구 조건 확인,실제 장치의 전기·타이밍 시험을 할 장비 접근 불가,M39·M40: 모의 통과와 실기기 미검증을 분리,"펌웨어 수정·시험 계획 가능, 장치 검증 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
108,고용형,QA·테스트 엔지니어,결제 개편의 자동 테스트는 모두 통과하지만 테스트 데이터가 정상 패턴뿐이고 운영 로그에는 간헐적 환불 불일치가 있음,자동 테스트는 통과하지만 환불 대사 불일치 재현,M49·M54: 구현과 별개 거래 오라클·실패 순서 시험 구성,수정 후에도 한 경로가 실패해 출시 기준 미달,M42·M45: 재현·영향·필수 결함을 보고하고 출시 보류,QA 판단·결함 인계는 종결 가능; 제품 출시 합격으로 세지 않음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
109,고용형,데이터 엔지니어,원천 스키마 변경과 지연 이벤트·삭제 요청이 겹쳐 매출 집계가 중복되고 재처리하면 이미 삭제한 정보가 살아남,스키마 변경·지연 이벤트·삭제 요청 뒤 재처리 시도,M25·M31·M52: 사건시각·삭제 상태·데이터 계보 확인,모의 재처리가 삭제 고객을 부활시키는 결과 반환,M35·M42: 재처리에도 삭제 조건을 적용하고 하류·백업 복원 경로 검수,주어진 원천·검사 아래 데이터 정정 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
110,고용형,데이터 분석가,매출 감소 원인이 가격 변경처럼 보이나 추적 누락·채널구성·환불 시점이 바뀌어 집계마다 반대 결론이 나옴,매출 하락 구간에서 계측 누락과 환불 시점 변경 확인,M18·M52: 지표 분모·원천 대사·시간 기준 정정,모의 재분석에서 가격 효과와 채널 효과의 일부는 구별 불가,M53·M54: 확정 가능한 분해와 추가 실험 가설만 제시,불확실성을 포함한 분석 보고서는 종결 가능; 단일 원인 확정은 제외,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
111,고용형,데이터 사이언티스트,이탈 모델 정확도가 높지만 미래 정보를 쓰고 개입 대상 선정이 비용·편향·기존 영업 행동 때문에 실제 성과를 악화시킴,미래 정보가 특성에 들어가 오프라인 정확도가 부풀었음,M52·M53: 시점·라벨·분할·선택편향 수정,누출 제거 후 예측 개선은 남지만 개입 효과는 미관측,M54·M51: 비용·대조 개입·모니터링을 분리,"모델 검증·개입 설계 가능, 실제 업무 효과는 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
112,고용형,AI·ML 엔지니어,고객 문서 RAG가 그럴듯한 답을 내지만 권한 변경·검색 누락·지시문 오염·모델 업데이트가 겹쳐 다른 고객 자료와 오답을 반환함,고급 검색은 근거 부족 때만 켜지는데 부족 판정에 고급 검색이 필요,M18·M35: 단순 무결과와 확인 불가를 구별,생성기가 불명 조건을 대기로만 처리해 검색 보완을 시작하지 못함,M19·M50: 조건 확인용 근거 취득 경로를 먼저 활성화해야 함,조건부 기능의 판정 의존 명시 강화 필요,조건 명세 강화 필요,가정 응답: 추가 검색이 허용돼 필요한 근거를 확보하고 고객 경계·근거 검수가 통과. 검색 보완→근거 있는 답변 경로로 전개.,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
113,고용형,인프라·DevOps,리전 장애 때 백업은 있으나 키·DNS·외부 의존과 복구 용량이 없어 재해복구가 실패하고 잘못된 자동 확장이 비용을 키움,백업은 있으나 복구 리전 키·DNS·용량이 부족,M25·M33·M35: 문서상 복구와 실제 선행조건을 구별,키 접근·외부 DNS 권한을 현재 위임으로 확보할 수 없음,M31·M39·M42: 가능한 복구와 필요한 외부 권한·미완료를 구분,"복구 설계·가능한 조치 수행, 전체 서비스 복구는 외부 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
114,고용형,IT 운영,조직개편과 퇴사자 정리가 겹쳐 업무용 공유계정·라이선스·장비가 남고 급한 복구 요청이 권한 검증을 우회하게 만듦,퇴사자 계정이 공유 자동화와 라이선스에 남음,M25·M31: 실제 접근·서비스 의존과 회수 범위 확인,모의 권한 회수·담당 이전·사용자 과업 확인 통과,M10·M42·M47: 접근 잔존·업무 복구·비용 대사,제공된 시스템 확인 아래 IT 운영 처리 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
115,고용형,정보보안 (침해 대응),탈취 계정이 클라우드·백업에 접근하고 로그 일부가 지워져 즉시 차단하면 증거·업무 연속성을 함께 잃을 수 있음,탈취 계정이 백업까지 접근했고 로그 일부가 없음,M18·M35: 증거 보존·확산·업무 연속성으로 봉쇄 순서 선택,확인된 경로는 봉쇄됐지만 초기 침입·유출 범위는 불명,M39·M43·M51: 독립 조사·복구·후속 감시 연결,"봉쇄·복구 경로 가능, 근절·피해 범위 확정은 추가 관측 필요",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
116,고용형,정보보안 (취약점 관리),같은 취약점이 외부 노출 서비스와 교체 불가 장비에 있고 스캐너 점수는 높지만 실제 악용 경로·업무 영향은 다름,"높은 스캔 점수의 일부는 오탐, 다른 낮은 점수는 실제 외부 경로 존재",M18·M33: 악용 가능·노출·업무 영향으로 우선순위 수정,모의 패치·완화 재시험에서 실제 경로 차단 확인,M54·M42: 조치·예외·잔여 위험을 자산별 기록,주어진 시험 아래 취약점 조치 판단 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
117,고용형,정보보안 (거버넌스·인증),인증 증빙은 갖췄으나 새 SaaS·위탁사·해외팀이 통제 범위 밖이고 담당자가 점검 시점에만 설정을 맞춤,새 위탁 SaaS가 인증 범위 밖에서 데이터를 처리,M25·M26: 범위·흐름·통제 목적을 다시 연결,운영 증거 표본에서 문서와 실제 통제 불일치 확인,M18·M49·M35: 격차·책임·개선·재평가 계획 작성,감사·격차 보고는 종결 가능; 인증·보안 효과 완료와 구분,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
118,고용형,UI/UX·제품 디자인,숙련자 중심 업무도구를 단순화했더니 초보자는 편해도 전문가의 대량 작업·보조기술·오류 복구가 막힘,단순화 화면이 숙련자 대량작업과 오류 복구를 막음,M07·M34: 집단·과업·빈도별 비용으로 흐름 수정,모의 사용자 시험에서 초보·숙련·보조기술 과업이 수정안 통과,M54·M42·M40: 상태·접근성·과업별 인수 연결,제공된 사용자 관측 아래 UX 설계 인수 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
119,고용형,그래픽,한 키비주얼을 옥외·모바일·인쇄로 펼치는데 작은 글자·색역·이미지 권리·재단 조건이 충돌함,모바일에서는 읽히지만 옥외·인쇄에서 작은 글자와 색이 깨짐,M09·M35: 매체별 위계·크기·색·재단 변형,모의 실크기·출력 검수가 수정본과 편집 원본 통과,M42·M40: 연결 자산·권리·매체별 납품 검수,제공된 출력 조건 아래 그래픽 납품 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
120,고용형,브랜드 디자인,합병 브랜드가 기존 고객 신뢰를 지키면서 새 시장에 진입해야 하고 양사 이름·상표·문화·채널이 충돌함,합병 이름이 기존 인식과 상표 검토에서 충돌,M18·M22·M23: 브랜드 구조·표현·접점 대안 분리,경영진은 양사 정체성의 상반된 약속과 단일 이름을 고수,M34·M38: 브랜드 우선순위와 실현 가능한 약속 재협의,"상반된 정체성 요구의 동시 실현 불가, 목표 조정 필요",목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
121,고용형,모션,방송·앱·세로광고에 같은 모션을 쓰려다 프레임·안전영역·용량·움직임 민감 사용자 조건이 달라짐,방송 프레임·앱 용량·동작 축소 설정이 서로 다름,M09·M35: 같은 의도의 매체별 모션·축소 변형 설계,모의 재생에서 타이밍·알파·프레임·앱 응답 통과,M42·M40: 타임라인·원본·렌더·설정 인수,제공된 재생 응답 아래 모션 납품 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
122,고용형,편집 디자인,막판 원고·표 수정으로 페이지·색인·각주가 연쇄 이동하고 PDF는 보이지만 인쇄에서 폰트·재단 문제가 발생함,막판 표 수정으로 페이지·색인·각주 연쇄 변경,M25·M09: 원고 판본·문서 참조·조판 재생성,모의 프리플라이트·실출력이 글꼴·재단·참조 통과,M42·M40: 원본·인쇄본·교정 기록 대조,제공된 인쇄 조건 아래 편집 디자인 인수 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
123,고용형,제품 (산업) 디자인,보기 좋은 외장 설계가 금형 언더컷·조립 공차·발열·수리성과 충돌해 시제품은 되지만 양산 불량이 예상됨,외장안이 금형·열·조립 공차 시험에서 충돌,M53·M54: 재료·구조·공정 대안 해석,모의 해석은 수정안 통과하나 시제품 열·조립 시험 미실시,M39·M40·M42: CAD·도면·BOM과 필요한 실물 검증을 연결,"설계 후보·제조 인계 가능, 양산 적합성은 실물 시험 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
124,고용형,PD,주요 출연자가 촬영 직전 빠지고 취재 사실이 뒤집혀 예산·일정·방송 약속·편집 방향을 동시에 바꿔야 함,핵심 출연자 이탈과 취재 사실 변경이 동시에 발생,M34·M35: 회차 목적·촬영·예산·권리 재구성,대체 출연·편성 조건 합의는 아직 없음,M38·M39: 제작 대안·외부 수행·결정 기한을 연결,"제작안은 가능, 출연·촬영·편성 결과는 외부 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
125,고용형,방송 작가 (구성),인터뷰 내용이 기획 가설을 뒤집고 방송 분량은 줄었는데 재미를 위해 발언 맥락을 자를 압력이 생김,새 인터뷰가 기존 원고의 인과 설명을 뒤집음,M18·M22: 이야기 중심·질문·내레이션 수정,분량 축소 후에도 모의 편집 검수에서 발언 맥락 보존 확인,M09·M42: 원본 타임코드·인용·대본 길이 대조,제공된 원본·편성 조건 아래 방송 구성안 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
126,고용형,에디터,전문가 원고의 핵심 주장이 자료와 어긋나고 저자는 수정을 거부하며 마감·법적 분쟁·독자 이해가 충돌함,핵심 주장이 반증되고 저자가 삭제를 거부,M18·M38: 증거·대안 표현·독자 영향과 편집권 확인,발행인은 사실 검증과 저자 원문 무수정을 동시에 요구,M27·M34: 권한·진실성·출판 조건 충돌 제시,"현 요구로 출판 목표 충족 불가, 수정·보류·계약 조정 필요",목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
127,고용형,영상 편집자,혼합 프레임·휴대폰 HDR·다중 녹음 소스에 후반 수정이 들어와 싱크·색·자막·권리와 온라인 편집 연결이 깨짐,프록시 재연결에서 색·싱크·자막이 어긋남,M25·M09: 원본·타임코드·색·오디오 매핑 수정,모의 전편 재생과 프로젝트 재열기가 모두 통과,M42·M40: 마스터·자막·분리음원·편집 원본 대조,제공된 재생 증거 아래 영상 납품 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
