번호,유형,분야,직무,실제 업무,복합 에피소드,필요한 자료,전문가 판단·작업,산출물·실행,실패 조건,재료별 보완,업무 특성 근거 URL,검토 수준
070,고용형,금융업,펀드매니저 (주식),주식 포트폴리오 구성; 환매·리밸런싱,펀드 환매가 늘었는데 유동성 낮은 보유주식과 거래정지 종목이 있어 벤치마크 위험과 현금 마련이 충돌함,투자지침·보유·주문·환매예정·호가·공시·거래제약,투자 논거와 자금요구 업데이트 → 매도 충격·편중·현금 제약 아래 실행 대안 → 체결·포지션·성과 대사,"포트폴리오·주문계획, 투자근거, 유동성·위험·성과 보고",평가수익률은 좋지만 환매자금 부족·매도 충격·규정 위반을 놓치면 실패,"M53 최적화·기여분석, M33 유동성·한도, M10 주문·대사, M34 투자 논거 재검토 필요",https://www.onetonline.org/link/summary/13-2051.00 | https://www.onetonline.org/link/summary/13-2054.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
071,고용형,금융업,펀드매니저 (채권),채권 투자·듀레이션 관리; 신용·환매 대응,금리 상승과 발행사 신용 악화가 겹쳐 가격이 하락하고 유동성이 줄었는데 평가가격은 실제 매도가와 차이가 큼,곡선·스프레드·채권조건·재무·평가·호가·보유·약정,금리·신용·옵션·유동성 효과 분해 → 시나리오별 현금흐름·손실 계산 → 교체·헤지·보유 대안과 거래가능성 검토,"채권평가·민감도, 신용메모, 거래·위험 보고",듀레이션 하나로 위험을 설명하거나 평가가를 실행 가능 가격으로 간주하면 실패,"M21 채권조건·모형, M53 현금·민감도, M16 실행호가, M33 결합 위험 필요",https://www.onetonline.org/link/summary/13-2051.00 | https://www.onetonline.org/link/summary/13-2054.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
072,고용형,금융업,대체투자 운용 (PE·부동산·인프라),투자기업·실물자산 인수; 가치개선·회수,PE 투자기업의 실적이 꺾여 약정 위반 우려가 생기고 추가출자·대출 연장·자산 매각의 이해관계가 충돌함,투자계약·주주권리·차입·영업지표·가치평가·자금·매각제안,실적 원인과 가치개선 가능성 평가 → 후속자금·구조조정·매각의 회수와 손실 비교 → 투자자·대주단·경영진 협의,"투자심의·운영개선안, 가치·회수모델, 약정·협상자료",장부 평가액을 방어하려 추가자금을 넣으면서 실제 회수·권리·현금 위험을 감추면 실패,"M53 투자·회수모델, M38 다자협상, M33 자본호출·노출, M25 권리·약정 필요",https://www.onetonline.org/link/summary/13-2051.00 | https://www.onetonline.org/link/summary/11-3031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
073,고용형,금융업,애널리스트 (리서치),기업·산업 리서치; 실적 추정·가치평가,기업은 수주 급증을 발표했지만 선수금·취소·납기 자료가 달라 매출 전환과 마진 추정이 바뀜,공시·실적·수주·산업통계·경쟁·컨퍼런스콜·기존모델,사업 동인과 수주 질 확인 → 실적 가정·가치평가·반대 시나리오 갱신 → 변한 논거와 미확인 자료 명시,"리서치 보고서, 실적·가치 모델, 투자논거·촉매·위험표",경영진 발표를 그대로 예측치로 바꾸거나 같은 원천 재인용을 독립 근거로 세면 실패,"M19 원천탐색, M18 사실·예측 구분, M53 동인 모델, M47 추정 변경 이력 필요",https://www.onetonline.org/link/summary/13-2051.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
074,고용형,금융업,트레이더,고객 주문 집행; 단기 포지션·위험 관리,대량 주문 집행 중 가격이 급변하고 거래소 응답이 지연돼 일부 주문은 체결 여부를 모르는 상태가 됨,주문목표·한도·호가·체결·거래소 상태·포지션·시간조건,확정 체결과 미결 노출 대사 → 시장충격·잔여시간·한도에 맞게 집행 조정 → 결과 불명 주문을 조회·확인,"주문·체결기록, 집행품질·슬리피지, 위험·예외 보고",주문 API 성공만 보고 포지션을 확정하거나 중복 주문·지연 노출을 놓치면 실패,"M08·M10 저지연 실행, M25 주문상태, M33 합산 노출, M53 집행분석 필요",https://www.onetonline.org/link/summary/41-3031.00 | https://www.onetonline.org/link/summary/13-2054.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
075,고용형,금융업,여신심사 (개인),개인 신용·담보 심사; 예외·사기 징후 검토,대출자의 소득은 충분해 보이나 최근 신규채무와 계좌 거래가 신고소득과 맞지 않고 자동모형은 승인으로 나옴,신청·소득·채무·신용·담보·거래·모형결과·심사기준,상환원천·자료 진위·누락채무 확인 → 자동점수와 예외 증거 대조 → 승인·조건·거절 근거 및 설명 작성,"심사의견, 한도·조건 계산, 보완요청·결정 기록",점수만 따르고 상환부담·자료 위조·대리변수 영향을 검토하지 않으면 실패,"M18 신청증거, M53 상환·평가, M34 예외 판단, M27·M45 설명·공정성 검사 필요",https://www.onetonline.org/link/summary/13-2072.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
076,고용형,금융업,여신심사 (기업),기업 신용·사업 심사; 여신 조건·사후관리,기업의 이익은 흑자인데 매출채권과 재고가 쌓이고 계열사 보증·차환 만기가 숨은 자금위험을 만듦,재무·계좌·채권연령·재고·수주·담보·보증·약정,이익과 현금 전환의 차이 분석 → 그룹 노출·담보 회수·사업 시나리오 평가 → 한도·조건·사후지표 설정,"여신심사서, 신용·현금모델, 담보·조건표, 모니터링 기준",담보감정가만 믿고 중복 보증·현금전환 악화·조건 이행 실패를 놓치면 실패,"M25 그룹·보증 연결, M53 현금·신용, M33 노출, M37 사후 징후 필요",https://www.onetonline.org/link/summary/13-2072.00 | https://www.onetonline.org/link/summary/13-2054.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
077,고용형,금융업,리스크 관리,시장·신용·운영 위험 측정; 한도·스트레스 검토,여러 부서가 각자 한도 안이지만 같은 담보와 거래상대에 노출돼 공통 충격 때 손실·증거금이 동시에 증가함,포지션·거래상대·담보·약정·시장·손실·모형·한도,데이터와 노출 정의 통일 → 공통 원인·연쇄·모형 차이를 스트레스 → 감축·헤지·한도조정의 실제 비용 평가,"위험·집중도 보고, 스트레스 결과, 한도·완화 조치안",부서별 위험 수치를 더한 것만으로 분산효과·비선형 손실을 판단하면 실패,"M52 노출통합, M53·M54 결합 모형, M33 한도, M43 모형·데이터 독립검증 필요",https://www.onetonline.org/link/summary/13-2054.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
078,고용형,금융업,보험 언더라이터 (인수 심사),보험 인수·갱신 심사; 특약·요율 조건 검토,대형 사업장의 저렴한 갱신을 영업이 요구하지만 손해이력과 설비 상태가 악화됐고 같은 지역 누적 노출이 큼,청약·사업·재물·손해·방재·검진 등 위험자료·재보험·누적,위험정보 진위와 핵심 인수요인 확인 → 개별·누적 손실과 재보험 조건 평가 → 인수·조건·요율·거절 근거 제시,"인수검토서, 조건·추가자료 요청, 요율·누적 검토",개별 계약의 보험료만 보고 누적 재해노출·제외조건·불완전 자료를 놓치면 실패,"M21 인수기준, M53 요율·누적, M18 실태정보, M34 예외·영업 압력 구분 필요",https://www.onetonline.org/link/summary/13-2053.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
079,고용형,금융업,IB (인수·자금조달 주선),IPO·채권발행·인수금융; 투자자 설명·거래 종결,조달을 추진하던 회사에 실사상 회계 쟁점이 발견되고 투자자 수요가 약해져 가격·물량·조건을 바꿔야 함,실사·재무·계약·발행조건·투자자 수요·규정·자금계획,거래 구조와 확인 사실 정리 → 가격·수요·약정·이해충돌 대조 → 설명자료·조건·종결 서류를 일치시켜 실행 지원,"거래제안·가치모델, 투자자 자료, 조건표·실사·종결목록",투자자 자료는 낙관적으로 쓰고 계약·실사 위험은 반영하지 않거나 인수·자문 역할을 섞으면 실패,"M04 실사·법무협력, M38 수요·조건 협상, M53 가격·조달, M31 역할·승인 경계 필요",https://www.onetonline.org/link/summary/13-2051.00 | https://www.onetonline.org/link/summary/41-3031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
080,고용형,법무,법무 (소송·분쟁),사내 분쟁 대응·외부로펌 관리; 소송충당·합의 지원,고객 손해배상 소송과 임직원 형사 사건에 같은 이메일이 쓰이고 외부로펌마다 다른 전략·자료 요청을 보냄,사건·계약·증거·로펌 의견·비용·보험·공시·임직원 관계,회사의 목적·비밀·자료보존 범위 확인 → 사건·자문팀별 이견과 교차 영향 조정 → 합의·소송·보고 의사결정 지원,"사건대장, 로펌 지시·증거묶음, 전략·비용·충당 검토, 합의안",외부로펌 결과를 붙이기만 하고 회사·임원 이해충돌과 제출 설명 모순을 놓치면 실패,"M04 전문팀 조정, M25 사건·자료 연결, M31 회사 위임, M34·M43 통합 판단 필요",https://scourt.go.kr/judiciary/duty/civil/ | https://people.scourt.go.kr/judiciary/duty/criminal/index.html,문서상 책임 배치·보완 분석 / 실제 실행 미검증
081,고용형,법무,법무 (규제·컴플라이언스),신규사업 규제검토; 컴플라이언스 운영·사고 대응,해외 서비스 출시에서 데이터 이전·소비자 고지·파트너 계약 조건이 달라 한 국가의 표준 약관을 복제할 수 없음,국가·서비스흐름·데이터·규정·기관안내·계약·통제증거,실제 행위·정보흐름을 관할별로 나눔 → 적용 의무·통제·미확정 해석 확인 → 출시 조건·대체 설계·감시 계획 수립,"규제 적용표, 통제·출시조건, 의견·질의자료, 운영 점검",법령 목록만 만들고 실제 데이터·행동·담당 통제와 연결하지 않으면 실패,"M12·M14 적용 해석, M25 행위·관할 연결, M35 통제설계, M37 규정·운영 변화 감시 필요",https://www.onetonline.org/link/summary/13-1041.07,문서상 책임 배치·보완 분석 / 실제 실행 미검증
082,고용형,법무,계약 관리,계약 초안·협상 관리; 갱신·의무 추적,고객 계약의 SLA와 공급사 보상 한도가 다르고 자동갱신·가격인상·데이터 반환 조건이 다른 날짜에 발동함,계약 원본·수정대조·협상메일·약정·운영원가·만기,조항의 의무·권한·이벤트를 구조화 → 서로 다른 계약의 공백·노출 비교 → 문안 협상·승인·후속 알림 연결,"계약 redline, 조항·의무대장, 승인기록, 갱신·종료 계획",서명본 저장은 했지만 실제 의무·갱신·위험전가 차이가 운영에 반영되지 않으면 실패,"M07 계약 구조, M25 조항·이벤트 연결, M38 협상, M37 만기·조건 감시 필요",https://www.onetonline.org/link/summary/13-1111.00 | https://scourt.go.kr/judiciary/duty/civil/,문서상 책임 배치·보완 분석 / 실제 실행 미검증
083,고용형,마케팅·PR,브랜드 마케팅,브랜드 포지셔닝·캠페인; 제품·채널 메시지 조정,리뉴얼 캠페인의 신규 이미지가 기존 고객의 신뢰 이유를 약화시키고 판매점은 제품 설명과 프로모션이 다르다고 반발함,고객인식·브랜드추적·경쟁·상품근거·채널·매출·캠페인,핵심 고객과 구매 이유 확인 → 메시지·제품경험·채널 실행 일치 → 인지도·선호·판매·장기 지표로 대안 평가,"브랜드 전략·캠페인 브리프, 메시지 체계, 채널 가이드·효과보고",화제성만 높고 제품 약속·고객 인식·매장 경험이 어긋나면 실패,"M23 브랜드 정체성, M22 고객 단서, M35 통합 실행, M54·M51 브랜드·매출 효과검증 필요",https://www.onetonline.org/link/summary/11-2021.00 | https://www.onetonline.org/link/summary/13-1161.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
084,고용형,마케팅·PR,퍼포먼스 마케팅,광고 집행·입찰·소재 테스트; 퍼널·예산 최적화,ROAS는 상승했지만 취소·반품과 기존 고객 비중이 커져 실제 추가이익은 줄고 인기상품은 품절됨,광고·클릭·주문·고객·반품·마진·재고·귀속 정의,전환과 실매출 대사 → 신규증분·마진·재고 제약으로 성과 재평가 → 입찰·예산·소재 실험 조정,"광고운영안, 귀속·이익 대시보드, 소재·랜딩 테스트, 예산 변경",플랫폼 매출만 최적화해 중복귀속·취소·자기잠식·품절 광고비를 놓치면 실패,"M52 광고-주문 연결, M53 이익 최적화, M54 증분 실험, M10 집행·M51 순성과 필요",https://www.onetonline.org/link/summary/13-1161.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
085,고용형,마케팅·PR,콘텐츠 마케팅,검색·교육 콘텐츠 기획; 제작·배포·리드 전환,유입이 많은 글들이 같은 초급 주제를 반복하고 상담 고객은 구매에 필요한 비교·도입 질문에 답을 못 얻음,검색질의·고객질문·기존콘텐츠·상품정보·리드·매출,구매 여정의 정보 공백 확인 → 근거 있는 주제·콘텐츠 묶음 제작 → 배포·검색·리드 질과 계약 기여를 추적,콘텐츠 맵·원고·편집안·배포계획·성과보고,글 수·조회수만 늘고 제품 적합 고객의 다음 행동이나 사실 정확성이 개선되지 않으면 실패,"M21 상품지식, M34 주제 선택, M09 제작, M25 주장·링크, M51 리드·계약 연결 필요",https://www.onetonline.org/link/summary/13-1161.00 | https://www.onetonline.org/link/summary/27-3041.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
086,고용형,마케팅·PR,CRM,고객 세분화·캠페인 자동화; 이탈·재구매 개선,할인 메시지로 재구매가 늘었지만 원래 구매할 고객에게 쿠폰이 나가고 수신거부·중복고객 문제도 생김,고객ID·주문·동의·접점·쿠폰·마진·캠페인·대조군,식별·동의·이벤트 정확성 확인 → 수명주기별 필요와 증분효과 비교 → 채널·빈도·혜택·제외조건 조정,"세그먼트·자동화 여정, 메시지·혜택안, 대조평가·실행기록",재구매율은 올라도 할인 누수·중복접촉·동의 위반·피로도가 커지면 실패,"M52 고객 식별, M31·M32 동의·접근, M54 대조실험, M10 캠페인·M51 증분이익 필요",https://www.onetonline.org/link/summary/13-1161.00 | https://www.onetonline.org/link/summary/11-2021.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
087,고용형,마케팅·PR,홍보,보도자료·언론 대응; 기업 위기 커뮤니케이션,제품 사고 제보가 확산되는데 법무·품질·영업의 사실 설명이 다르고 기자는 즉시 답변을 요구함,제보·검증사실·제품·사고·문의·이해관계자·공개조건,사실·확인 중·추정을 분리 → 조치·공개 범위와 대변인 메시지 조정 → 보도·고객 반응·새 사실에 맞춰 정정,"보도자료·Q&A·입장문, 문의대장, 메시지·정정 이력",좋은 표현으로 위기를 덮다가 사실과 다른 단정·부서별 모순·후속조치 부재가 드러나면 실패,"M18 사실확인, M04·M38 부서·언론 조정, M31 공개권한, M08 긴급 응대 필요",https://www.onetonline.org/link/summary/27-3031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
088,고용형,영업·고객,영업 (B2B 신규 개척),B2B 잠재고객 발굴·제안; 구매위원회 협상,현업은 제품을 원하지만 보안·구매·재무가 반대하고 경쟁사는 저가를 제시해 고객맞춤 기능을 무리하게 약속할 유인이 생김,고객업무·관계자·RFP·기술·예산·경쟁·가격·공급능력,실제 구매 문제·결정과정 확인 → 가치·검증·상업조건을 역할별 제안 → 이행 가능한 약속으로 협상·계약 진행,"계정·기회계획, 제안서·견적, 검증·협상 기록, 계약 인계",많은 미팅·견적을 성과로 세고 실제 예산·결정권·납품가능성을 확인하지 않으면 실패,"M38 발견질문·협상, M17 계정맥락, M53 가치·가격, M35 수주·납품 전환 필요",https://www.onetonline.org/link/summary/11-2022.00 | https://www.onetonline.org/link/summary/41-9031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
089,고용형,영업·고객,영업 (B2B 기존·키어카운트),기존 고객 갱신·확장; 핵심 계정 관계·수익 관리,큰 고객이 장애 보상을 요구하며 갱신을 보류하고 계열사 통합 할인과 아직 없는 기능을 동시에 요구함,사용·장애·계약·원가·구매조직·갱신일·경쟁제안,가치·불만·의사결정권 확인 → 보상·가격·범위별 수익과 이행 가능성 비교 → 조건부 갱신·확장 협상,"계정계획, 갱신·확장 제안, 양보·약속·인계 기록",갱신 매출을 지키려고 손실 계약·무권한 개발 약속을 늘리면 실패,"M17 계정 이력, M38 협상, M33·M53 계정 수익, M35 약속 이행 연결 필요",https://www.onetonline.org/link/summary/11-2022.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
090,고용형,영업·고객,기술영업 (프리세일즈),요구사항 분석·기술 제안; 데모·PoC 설계,고객 폐쇄망에서 데모는 성공했으나 실제 데이터량·인증·복구 요구를 만족하지 못하고 입찰 마감이 다가옴,RFP·구성도·실데이터 특성·연계·성능·보안·인수조건,필수·선호 요구 구분 → 대표 부하·실패 조건으로 검증 → 미충족·개발·대안·상업적 약속 조정,"요구 대응표, 아키텍처·데모·PoC 결과, 기술 제안·인계서",통제된 데모 성공을 운영 적합성으로 보고 제약을 숨기면 실패,"M21 기술지식, M54 부하·복구 실험, M10 실제 연계, M09·M40 제안·실행물 제작·인수 필요",https://www.onetonline.org/link/summary/41-9031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
091,고용형,영업·고객,해외영업,해외 바이어 발굴·견적; 수출 계약·납품 협상,바이어가 결제방식·인도조건을 바꾸고 운임·환율·수입허가가 흔들려 수주액은 커도 회수·납기 위험이 커짐,바이어 신용·거래조건·규격·운송·환율·대금회수·허가 자료,수요·채산·회수 확인 → 조건별 비용·위험·책임 비교 → 생산·물류·금융과 실행 조건 확정,"수출 제안·견적·협상안, 주문·선적 인계, 회수 계획",매출만 보고 회수 불능·통관 불가·조건 간 책임 공백을 놓치면 실패,"M38 다국어 협상, M53 환율·조건별 수익, M35 수출 이행, M26 적용요건 필요",https://www.onetonline.org/link/summary/11-2022.00 | https://www.onetonline.org/link/summary/13-1081.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
092,고용형,영업·고객,영업관리,주문·매출·수금 관리; 영업 예측·인센티브 운영,분기 말 취소 가능한 주문을 확정 매출처럼 올리고 반품·미수·중복 실적 때문에 팀 보상과 생산계획이 왜곡됨,CRM·주문·출하·청구·입금·반품·실적규정,단계별 실재·시점·중복 대사 → 예상과 확정 실적 분리 → 예측·보상·재고 영향 수정,"수주·매출·미수 대장, 예측표, 인센티브 정산·정정 기록",수주·매출·현금의 상태를 섞어 좋은 숫자를 만들면 실패,"M52 시스템 대사, M25 주문 상태, M53 예측·보상 계산, M47 정정 추적 필요",https://www.onetonline.org/link/summary/11-2022.00 | https://www.onetonline.org/link/summary/13-2011.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
093,고용형,영업·고객,고객성공,고객 온보딩·활용 정착; 이탈 예방·성과 확인,계약 담당자가 퇴사하고 이용자는 교육을 마쳤지만 핵심 업무를 수행하지 못해 갱신 직전 성과가 없다는 불만이 나옴,고객 목표·이용행동·지원이력·조직변경·계약·성과지표,목표·작업 장애 재확인 → 역할별 정착 계획·제품 문제 분리 → 가치 입증·확장·갱신 협업,"성공계획, 교육·활용 자료, 건강도 근거, 개선·갱신 인계",로그인·교육 참석을 고객 성과로 바꾸거나 영업 약속을 임의 확정하면 실패,"M17 고객 맥락, M38 발견·조정, M35 온보딩, M51 성과·건강도 보정 필요",https://www.onetonline.org/link/summary/11-2022.00 | https://www.onetonline.org/link/summary/13-1111.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
094,고용형,상품·기획,PM·PO (B2C 앱),소비자 문제 발견·우선순위; 실험·출시·지표 개선,가입률을 올린 개편이 취소·환불·장기 이탈을 늘리고 실험군 오염과 계절 효과로 원인 판단이 어려움,인터뷰·행동로그·퍼널·코호트·실험배정·환불·개발비,문제·가설·측정 타당성 확인 → 사용자 가치와 장기 지표 비교 → 출시·철회·후속 실험 결정,"문제정의·제품요건, 실험계획·분석, 로드맵·출시 판단",단기 클릭 상승을 성공으로 삼아 사용자 피해·측정 오류·유지비를 놓치면 실패,"M34 제품 판단, M52 계측, M54 인과 실험, M35 우선순위·출시 필요",https://www.onetonline.org/link/summary/13-1082.00 | https://www.onetonline.org/link/summary/13-1161.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
095,고용형,상품·기획,PM·PO (B2B SaaS),기업 업무·요구 모델링; 공통 제품·고객별 요구 조정,대형 고객의 특수 승인·권한 요구가 기존 테넌트 모델과 충돌하고 계약 마감 때문에 제품을 고객별로 분기할 압력이 생김,고객 업무·계약·권한·데이터모형·사용량·지원비·로드맵,공통 문제와 예외 분리 → 확장점·격리·이행비 비교 → 계약·이전·인수 조건 합의,"제품요건·권한모형, 우선순위·전환계획, 고객별 수용 기준",수주만 위해 공통 제품·격리·업그레이드 경로를 무너뜨리면 실패,"M25 테넌트·상태, M31·M32 권한, M53 총비용, M35 제품·계약 의존 필요",https://www.onetonline.org/link/summary/13-1082.00 | https://www.onetonline.org/link/summary/15-1252.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
096,고용형,상품·기획,PMO,프로젝트 통합 일정·자원 관리; 변경·위험·의사결정 지원,세 프로젝트가 같은 전문가·공급사를 쓰며 각 일정표는 정상인데 통합 출시일과 규제 마감은 동시에 달성 불가함,범위·WBS·의존·자원·계약·진척 근거·변경요청,실진척·병목·임계 의존 확인 → 자원·범위·일정 대안 비교 → 결정권자 승인과 팀별 계획 동기화,"통합계획, 의사결정·변경대장, 자원·리스크 보고",개별 녹색 상태를 합쳐 전체 정상이라고 하거나 완료율을 근거 없이 인정하면 실패,"M35 자원 제약 계획, M25 의존 상태, M33 결합위험, M04 팀 조정 필요",https://www.onetonline.org/link/summary/13-1082.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
097,고용형,상품·기획,게임 기획 (시스템·경제),게임 시스템·보상 설계; 경제·성장·라이브 밸런스,복귀 보상과 거래 이벤트를 악용한 다계정이 재화를 증식시키고 정상 유저의 성장·시장가격까지 무너뜨림,재화 흐름·생산소비·행동·거래·아이템·성장·운영정책,루프·악용 경로·집단별 손익 모델링 → 제한·회수·보상 대안 실험 → 업데이트와 이용자 반응 관측,"시스템 명세·경제표, 시뮬레이션, 패치·보상안",평균 경제 안정만 보고 신규·과금·정상 거래자의 경험과 악용 경로를 놓치면 실패,"M53 경제모형, M54 다중 행위자·플레이 실험, M52 이벤트 계측, M35 라이브 전환 필요",https://www.onetonline.org/link/summary/15-1255.01,문서상 책임 배치·보완 분석 / 실제 실행 미검증
098,고용형,상품·기획,MD (온라인),온라인 상품 구성·가격·프로모션; 매출·재고·마진 관리,할인 행사 매출이 늘지만 광고비·반품·품절 대체·쿠폰 중복 때문에 실제 공헌이익은 감소함,SKU·원가·가격·수수료·광고·재고·주문·반품·검색,상품별 수요·공헌·노출 진단 → 가격·구성·수량·프로모션 비교 → 채널 실행과 사후 정산,"상품·행사계획, 발주·가격표, 손익·소진 분석",거래액을 이익으로 세거나 반품·채널 비용을 늦게 반영하면 실패,"M53 SKU 손익·수요, M52 채널 대사, M10 판매 실행, M54 가격·구성 실험 필요",https://www.onetonline.org/link/summary/13-1022.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
099,고용형,상품·기획,MD (오프라인 매입),매장 상품 매입·구성; 공급사 조건·재고 소진 협상,계절상품을 대량 매입했는데 상권별 수요가 갈리고 반품권·진열비·후속 공급 조건 때문에 단순 할인으로 해결되지 않음,매장별 판매·재고·공간·매입·반품·납기·공급사 조건,상권·상품 역할 분석 → 이동·추가매입·할인·반품 대안 비교 → 공급사·매장과 조건 조정,"매입·구색·배분 계획, 공급조건, 소진·손익 보고",전체 평균만 보고 점포별 품절·과잉과 약정 비용을 놓치면 실패,"M53 매장별 배분·손익, M38 매입 협상, M35 입고·이동, M07 매장 관측 인수 필요",https://www.onetonline.org/link/summary/13-1022.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
100,고용형,상품·기획,구매 (직접재·자재),직접재 소싱·발주; 납기·품질·단가 관리,핵심 부품 업체가 중단돼 대체품을 구했으나 도면 공차·인증·금형 소유와 생산 승인 때문에 즉시 투입할 수 없음,BOM·도면·규격·재고·수요·공급계약·검사·승인 이력,대체 적합성·승인·공급능력 확인 → 중단손실·검증시간·가격 비교 → 시험·계약·발주 순서 조정,"소싱·대체 검토, 발주·조건서, 검증·공급 회복 계획",싼 대체품 확보를 완료로 삼고 양산 불가·추적성·단종 위험을 놓치면 실패,"M21 규격·BOM, M54 대체 시험, M53 공급 총비용, M35 승인·납기 필요",https://www.onetonline.org/link/summary/13-1023.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
101,고용형,상품·기획,구매 (간접재·서비스),서비스·간접재 구매; 제안 비교·계약·성과 관리,최저가 IT 외주 제안이 데이터 이전·운영지원·사용권을 제외해 계약 후 비용과 종속성이 급증할 가능성이 있음,요구범위·제안·단가·SLA·사용권·보안·전환·종료조건,비교 가능한 범위로 정규화 → 생애비용·품질·종속 위험 평가 → 검수·변경·종료 조건 협상,"평가표·구매안, 계약 요구·검수표, 공급사 성과평가",금액만 비교하거나 모호한 납품 범위를 계약 후에 발견하면 실패,"M18 제안 근거, M53 총소유비용, M38 협상, M35·M40 납품·인수 계약 필요",https://www.onetonline.org/link/summary/13-1023.00 | https://www.onetonline.org/link/summary/11-3061.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
102,고용형,개발,풀스택,사용자 기능·데이터·API 구현; 통합 배포·운영,결제·권한·화면을 함께 바꾸는 출시에서 구버전 클라이언트와 데이터 이전이 겹쳐 중복 결제와 정보 노출이 발생할 수 있음,요구·코드·스키마·계약·로그·배포·회귀 사례,업무 불변조건·호환성 정의 → 계층별 변경·전환 계획 → 통합·실패·복구 검증 후 배포,"실행 코드·마이그레이션, 테스트·배포·복구 절차",화면 정상만 확인하고 거래 일관성·권한·복구 불능을 놓치면 실패,"M10 빌드·실행, M35 의존 변경, M54 통합·장애 시험, M40 실행 납품 필요",https://www.onetonline.org/link/summary/15-1252.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
103,고용형,개발,프론트엔드,웹 화면·상호작용 구현; 접근성·성능·상태 관리,느린 망과 보조기술에서 결제 폼 오류가 숨고 재시도 때 중복 요청되며 다국어 문장이 레이아웃을 깨뜨림,디자인·상태모형·API·기기·접근성·성능·번역,상태·오류·입력 흐름 정의 → 실제 브라우저·보조기술·망 조건 검증 → 렌더·포커스·요청 제어 수정,"컴포넌트·화면, 접근성·성능·상호작용 검증 기록",스크린샷 유사성만으로 사용 가능·중복 방지를 통과시키면 실패,"M36·M40·M42 상호작용 인수, M54 브라우저·보조기술 시험, M08 응답성, M52 계측 필요",https://www.onetonline.org/link/summary/15-1255.00 | https://www.onetonline.org/link/summary/15-1252.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
104,고용형,개발,백엔드,서버 업무 로직·API; 데이터 일관성·성능·보안,결제 응답 유실·동시 취소·메시지 재전송이 겹쳐 결제사와 주문·재고 상태가 서로 달라짐,API·이벤트·스키마·거래로그·외부 응답·장애조건,불변조건·재시도·순서 정의 → 멱등·트랜잭션·보상 설계 → 동시성·장애·대사 검증,"서버 코드·스키마, API 계약, 부하·복구·대사 결과",정상 요청만 통과하고 돈·주문·재고 중복 또는 유실을 허용하면 실패,"M25 상태, M10 외부 실행, M54 동시·실패 실험, M35·M42 복구 필요",https://www.onetonline.org/link/summary/15-1252.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
105,고용형,개발,모바일,모바일 기능·기기 연동; 배포·호환·오프라인 동기화,오프라인 편집 중 계정이 바뀌고 앱이 강제 종료된 뒤 구버전이 재접속해 데이터 충돌·다른 계정 노출이 생김,플랫폼·기기·권한·로컬DB·서버계약·버전·스토어 요구,수명주기·계정·동기화 충돌 정책 정의 → 실기기·중단·업데이트 시험 → 배포·회수 경로 확인,"앱 빌드·동기화 구현, 실기기 시험·배포 자료",에뮬레이터 정상만 보고 실기기·백그라운드·버전 혼재 문제를 놓치면 실패,"M21 플랫폼, M54 실기기·망 시험, M31 계정 경계, M40·M42 설치·업데이트 인수 필요",https://www.onetonline.org/link/summary/15-1252.00 | https://developer.apple.com/app-store/review/guidelines/,문서상 책임 배치·보완 분석 / 실제 실행 미검증
