번호,유형,직무,온라인 위임 단위,제공받을 입력,외부·현장 의존과 제외,권한·자격 확인,직무 고유 실패 기준,내용 구체화의 책임,현재 지원 상태,출처
087,고용형,홍보,"보도자료·Q&A·입장문, 문의대장, 메시지·정정 이력",제보·검증사실·제품·사고·문의·이해관계자·공개조건,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,좋은 표현으로 위기를 덮다가 사실과 다른 단정·부서별 모순·후속조치 부재가 드러나면 실패,"M18 사실확인, M04·M38 부서·언론 조정, M31 공개권한, M08 긴급 응대 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#087
088,고용형,영업 (B2B 신규 개척),"계정·기회계획, 제안서·견적, 검증·협상 기록, 계약 인계",고객업무·관계자·RFP·기술·예산·경쟁·가격·공급능력,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,많은 미팅·견적을 성과로 세고 실제 예산·결정권·납품가능성을 확인하지 않으면 실패,"M38 발견질문·협상, M17 계정맥락, M53 가치·가격, M35 수주·납품 전환 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#088
089,고용형,영업 (B2B 기존·키어카운트),"계정계획, 갱신·확장 제안, 양보·약속·인계 기록",사용·장애·계약·원가·구매조직·갱신일·경쟁제안,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,갱신 매출을 지키려고 손실 계약·무권한 개발 약속을 늘리면 실패,"M17 계정 이력, M38 협상, M33·M53 계정 수익, M35 약속 이행 연결 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#089
090,고용형,기술영업 (프리세일즈),"요구 대응표, 아키텍처·데모·PoC 결과, 기술 제안·인계서",RFP·구성도·실데이터 특성·연계·성능·보안·인수조건,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,통제된 데모 성공을 운영 적합성으로 보고 제약을 숨기면 실패,"M21 기술지식, M54 부하·복구 실험, M10 실제 연계, M09·M40 제안·실행물 제작·인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#090
091,고용형,해외영업,"수출 제안·견적·협상안, 주문·선적 인계, 회수 계획",바이어 신용·거래조건·규격·운송·환율·대금회수·허가 자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,매출만 보고 회수 불능·통관 불가·조건 간 책임 공백을 놓치면 실패,"M38 다국어 협상, M53 환율·조건별 수익, M35 수출 이행, M26 적용요건 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#091
092,고용형,영업관리,"수주·매출·미수 대장, 예측표, 인센티브 정산·정정 기록",CRM·주문·출하·청구·입금·반품·실적규정,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,수주·매출·현금의 상태를 섞어 좋은 숫자를 만들면 실패,"M52 시스템 대사, M25 주문 상태, M53 예측·보상 계산, M47 정정 추적 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#092
093,고용형,고객성공,"성공계획, 교육·활용 자료, 건강도 근거, 개선·갱신 인계",고객 목표·이용행동·지원이력·조직변경·계약·성과지표,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,로그인·교육 참석을 고객 성과로 바꾸거나 영업 약속을 임의 확정하면 실패,"M17 고객 맥락, M38 발견·조정, M35 온보딩, M51 성과·건강도 보정 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#093
094,고용형,PM·PO (B2C 앱),"문제정의·제품요건, 실험계획·분석, 로드맵·출시 판단",인터뷰·행동로그·퍼널·코호트·실험배정·환불·개발비,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,단기 클릭 상승을 성공으로 삼아 사용자 피해·측정 오류·유지비를 놓치면 실패,"M34 제품 판단, M52 계측, M54 인과 실험, M35 우선순위·출시 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#094
095,고용형,PM·PO (B2B SaaS),"제품요건·권한모형, 우선순위·전환계획, 고객별 수용 기준",고객 업무·계약·권한·데이터모형·사용량·지원비·로드맵,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,수주만 위해 공통 제품·격리·업그레이드 경로를 무너뜨리면 실패,"M25 테넌트·상태, M31·M32 권한, M53 총비용, M35 제품·계약 의존 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#095
096,고용형,PMO,"통합계획, 의사결정·변경대장, 자원·리스크 보고",범위·WBS·의존·자원·계약·진척 근거·변경요청,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,개별 녹색 상태를 합쳐 전체 정상이라고 하거나 완료율을 근거 없이 인정하면 실패,"M35 자원 제약 계획, M25 의존 상태, M33 결합위험, M04 팀 조정 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#096
097,고용형,게임 기획 (시스템·경제),"시스템 명세·경제표, 시뮬레이션, 패치·보상안",재화 흐름·생산소비·행동·거래·아이템·성장·운영정책,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,평균 경제 안정만 보고 신규·과금·정상 거래자의 경험과 악용 경로를 놓치면 실패,"M53 경제모형, M54 다중 행위자·플레이 실험, M52 이벤트 계측, M35 라이브 전환 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#097
098,고용형,MD (온라인),"상품·행사계획, 발주·가격표, 손익·소진 분석",SKU·원가·가격·수수료·광고·재고·주문·반품·검색,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,거래액을 이익으로 세거나 반품·채널 비용을 늦게 반영하면 실패,"M53 SKU 손익·수요, M52 채널 대사, M10 판매 실행, M54 가격·구성 실험 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#098
099,고용형,MD (오프라인 매입),"매입·구색·배분 계획, 공급조건, 소진·손익 보고",매장별 판매·재고·공간·매입·반품·납기·공급사 조건,매장 진열·실물 검수; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,전체 평균만 보고 점포별 품절·과잉과 약정 비용을 놓치면 실패,"M53 매장별 배분·손익, M38 매입 협상, M35 입고·이동, M07 매장 관측 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#099
100,고용형,구매 (직접재·자재),"소싱·대체 검토, 발주·조건서, 검증·공급 회복 계획",BOM·도면·규격·재고·수요·공급계약·검사·승인 이력,제조·실물 자재 검사; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,싼 대체품 확보를 완료로 삼고 양산 불가·추적성·단종 위험을 놓치면 실패,"M21 규격·BOM, M54 대체 시험, M53 공급 총비용, M35 승인·납기 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#100
101,고용형,구매 (간접재·서비스),"평가표·구매안, 계약 요구·검수표, 공급사 성과평가",요구범위·제안·단가·SLA·사용권·보안·전환·종료조건,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,금액만 비교하거나 모호한 납품 범위를 계약 후에 발견하면 실패,"M18 제안 근거, M53 총소유비용, M38 협상, M35·M40 납품·인수 계약 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#101
102,고용형,풀스택,"실행 코드·마이그레이션, 테스트·배포·복구 절차",요구·코드·스키마·계약·로그·배포·회귀 사례,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,화면 정상만 확인하고 거래 일관성·권한·복구 불능을 놓치면 실패,"M10 빌드·실행, M35 의존 변경, M54 통합·장애 시험, M40 실행 납품 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#102
103,고용형,프론트엔드,"컴포넌트·화면, 접근성·성능·상호작용 검증 기록",디자인·상태모형·API·기기·접근성·성능·번역,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,스크린샷 유사성만으로 사용 가능·중복 방지를 통과시키면 실패,"M36·M40·M42 상호작용 인수, M54 브라우저·보조기술 시험, M08 응답성, M52 계측 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#103
104,고용형,백엔드,"서버 코드·스키마, API 계약, 부하·복구·대사 결과",API·이벤트·스키마·거래로그·외부 응답·장애조건,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,정상 요청만 통과하고 돈·주문·재고 중복 또는 유실을 허용하면 실패,"M25 상태, M10 외부 실행, M54 동시·실패 실험, M35·M42 복구 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#104
105,고용형,모바일,"앱 구현·빌드·동기화·배포 자료, 시뮬레이터 및 허용된 원격 장비 시험",플랫폼·기기·권한·로컬DB·서버계약·버전·스토어 요구,물리 기기 설치·조작; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,에뮬레이터 정상만 보고 실기기·백그라운드·버전 혼재 문제를 놓치면 실패,"M21 플랫폼, M54 실기기·망 시험, M31 계정 경계, M40·M42 설치·업데이트 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#105
106,고용형,게임 개발,"게임 빌드·패치, 성능·네트워크·저장 회귀 결과",게임규칙·상태·에셋·저장·네트워크·성능·경제로그,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,실행 성공만 보고 재미·동기화·경제·기존 저장 손상을 놓치면 실패,"M54 실플레이·지연 시험, M25 게임 상태, M55 에셋·M42 엔진 호환, M35·M42 라이브 복구 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#106
107,고용형,임베디드·펌웨어,"펌웨어·설정·갱신물 제작, 가상·원격 시험과 제공된 장치 시험기록 분석",회로·데이터시트·타이밍·버스·메모리·센서·실기기 로그,장치 조립·배선·전원 조작·실기기 실험; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,시뮬레이터 성공을 전기·타이밍·실장 환경 검증으로 바꾸면 실패,"M21 하드웨어 규격, M54 HIL·실측, M08 실시간 제약, M39 장비·현장 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#107
108,고용형,QA·테스트 엔지니어,"테스트 전략·재현 자료·결함대장, 회귀·출시 의견",요구·변경영향·장애이력·데이터·환경·테스트·운영 징후,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,구현을 그대로 확인하는 테스트 수·통과율을 품질 증거로 삼으면 실패,"M49 독립 오라클·보호 사례, M54 환경·장애 주입, M43 결함 판단, M51 누락 추적 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#108
109,고용형,데이터 엔지니어,"파이프라인·데이터계약, 품질·계보·재처리 기록",원천계약·스키마·이벤트시간·키·계보·품질·삭제범위,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,파이프라인 녹색만 보고 의미 오류·중복·삭제 복원을 놓치면 실패,"M52 데이터계약·계보, M25 시간·상태, M31·M32 삭제 경계, M35·M42 재처리 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#109
110,고용형,데이터 분석가,"재현 분석·대시보드, 원인 가설·검증안·의사결정 메모",지표정의·원천·SQL·코호트·정책변경·추적·실험,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,상관·계측 변화를 원인으로 단정하거나 유리한 분모만 고르면 실패,"M52 지표·대사, M53 통계, M54 인과 검증, M18 결론 근거 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#110
111,고용형,데이터 사이언티스트,"재현 모델·검증, 개입·비용 분석, 적용·모니터링 조건",목표·시점·라벨·특성·표본·개입·비용·업무정책,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,오프라인 정확도를 업무 효과로 간주하거나 미래 정보를 쓰면 실패,"M53 통계·목적함수, M54 시간분할·개입 시험, M52 라벨·계보, M51 성과 감시 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#111
112,고용형,AI·ML 엔지니어,"모델 서비스·검색 파이프라인, 평가·배포·회귀 자료",문서·권한·검색·프롬프트·모델·평가셋·비용·로그,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,평균 답변 점수로 권한 누출·근거 부재·비용·변동성을 가리면 실패,"M18 근거, M31·M32 격리, M49 평가, M42·M50 변경관리, M10 서빙 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#112
113,고용형,인프라·DevOps,"IaC·파이프라인, 복구·운영 절차, 시험·비용·사고 개선",구성·의존·SLO·부하·비용·백업·키·배포·사고,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,백업 존재와 설정 문서를 복구 성공으로 세면 실패,"M35·M42 실제 복구, M33 공동 장애·비용, M54 재해 시험, M10 배포·관측 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#113
114,고용형,IT 운영,"처리·권한변경 기록, 자산대장, 운영 절차·개선안",인사변동·계정·자산·티켓·접근·라이선스·변경이력,하드웨어 현장 설치·수리; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,티켓 종료만 보고 실제 접근 잔존·업무 미복구·비용 누수를 놓치면 실패,"M31·M32 신원·권한, M25 자산·티켓 상태, M35·M42 복구, M47 변경 증거 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#114
115,고용형,정보보안 (침해 대응),"사고 타임라인·증거목록, 대응·복구 기록, 원인·영향 보고",원본로그·타임라인·계정·호스트·네트워크·자산·백업,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,경보 소멸을 근절로 여기거나 근거 없이 피해 범위를 확정하면 실패,"M18 증거·불확실성, M35 대응 순서, M35·M42 복구, M33 결합 영향, M10 포렌식 도구 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#115
116,고용형,정보보안 (취약점 관리),"취약점·예외대장, 조치계획·검증 증거",자산·버전·노출·스캔·악용조건·업무·패치·보완통제,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,CVSS 순위·패치 건수만으로 위험 해소를 주장하거나 승인 없이 공격하면 실패,"M18 진위, M33 맥락별 위험, M32 시험 권한, M54 조치 검증 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#116
117,고용형,정보보안 (거버넌스·인증),"통제체계·적용표, 위험·예외대장, 운영 증거·개선계획",범위·자산·처리흐름·위탁·통제·증빙·예외·사고,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,문서 존재·인증 획득을 실제 보안 효과로 대체하면 실패,"M26 적용 범위, M18 운영증거, M49 통제 효과 평가, M35 개선 추적 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#117
118,고용형,UI/UX·제품 디자인,"조사·여정·설계 근거, 프로토타입·디자인 시스템, 사용성 결과",사용자 관찰·과업·역할·빈도·오류·접근성·제품 제약,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,화면 미감·만족도만으로 과업 성공·효율·복구를 판단하면 실패,"M07 사용자 관찰, M34 설계 판단, M54 과업 실험, M36·M40·M42 상태·접근성 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#118
119,고용형,그래픽,"편집 원본·매체별 파일, 에셋·출력 명세",브리프·문안·브랜드·에셋권리·매체규격·인쇄조건,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,한 화면의 멋진 시안만 보고 가독성·실출력·편집 가능성을 놓치면 실패,"M22 시각 기준, M09 생성·편집, M55 원본자산·M40·M42 색·출력 인수, M54 실매체 검증 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#119
120,고용형,브랜드 디자인,"브랜드 전략·아이덴티티, 가이드·템플릿, 전환계획",시장·고객·경쟁·기존자산·상표·브랜드 구조·접점,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,로고만 바꾸고 차별성·인식·상표 검토·실제 접점 운영을 놓치면 실패,"M34 포지셔닝, M22 브랜드 판단, M38 이해관계 조정, M55 자산·M09 가이드 전개 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#120
121,고용형,모션,"모션 원본·렌더·규격별 변형, 재생·편집 인수",보드·에셋·타이밍·음향·플랫폼·프레임·접근성,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,정지 프레임 품질만 보고 타이밍·보간·알파·실재생 오류를 놓치면 실패,"M09 모션 제작, M21 엔진·코덱, M55 원본·M09 타임라인, M54 실재생 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#121
122,고용형,편집 디자인,"편집 원본·인쇄 PDF, 교정·출력 검수 기록",확정원고·표·이미지·스타일·판형·용지·인쇄·교정,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,페이지별 보기만 확인해 참조·누락·넘침·인쇄 부적합을 놓치면 실패,"M25 문서 의존, M55 폰트·M35·M40 조판·출력 계약, M10 DTP 도구, M43 교정 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#122
123,고용형,제품 (산업) 디자인,"네이티브 CAD·도면·BOM·시제품 명세 제작, 제공된 시험 결과 분석·양산 인계자료",사용자·치수·재료·구조·공차·공정·원가·시험,시제품 제작·실물 시험·양산; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,렌더를 제조 가능성으로 세거나 실물 검증 없이 공차·열·강도를 확정하면 실패,"M09·M55 CAD·도면·BOM 제작·자산, M53 공학 계산, M54 실물 시험, M39 제작·실측 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#123
124,고용형,PD,"기획·제작계획·콜시트·예산·권리대장, 제공된 촬영본 편집·최종본 납품",기획·대본·취재·출연·권리·예산·촬영·편성,촬영·출연·현장 제작; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,계획 문서만 완성하고 취재·촬영·권리·최종 편성 조건을 확보하지 못하면 실패,"M34 기획, M35 제작 의존, M38 출연·팀 조정, M39 촬영 인수, M09·M40 최종본 제작·인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#124
125,고용형,방송 작가 (구성),"구성안·질문지·대본, 출처·수정·편집 인계",취재·인터뷰 원본·검증자료·구성·분량·출연·편성,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,서사 완성도를 위해 인과·인용·발언 취지를 바꾸면 실패,"M18 취재 근거, M22 구성 감각, M09 대본·미디어 연계, M25 타임코드·M40 인계 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#125
126,고용형,에디터,"편집 원고·질의서·팩트체크, 교정·출판 인계",원고·원출처·독자·편집방침·계약·일정·권리,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,문장만 매끄럽게 만들고 핵심 오류·의미 변화·저자 미합의를 놓치면 실패,"M18 팩트체크, M22 편집 판단, M38 저자 조정, M25 판본·M42 교정 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#126
127,고용형,영상 편집자,"편집 프로젝트·마스터·자막·분리음원, QC 기록",원본·프록시·타임코드·대본·권리·색·음향·납품규격,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,짧은 미리보기만 보고 전체 싱크·색·누락·프로젝트 재열기를 놓치면 실패,"M09 편집, M25 타임라인·M42 코덱·컨폼, M10 편집도구, M54 전편 재생 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#127
128,고용형,생산관리,제공된 생산·설비·인력 현황으로 계획·납기 조정안·지시자료·실적 보고,주문·BOM·공정·능력·재고·설비·인력·실적,생산 설비·인력의 현장 작업; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,총량상 가능해도 공정 순서·전환·검사·현장 능력 때문에 실행 불가하면 실패,"M53 제약 일정, M25 WIP 상태, M35 재계획, M07·M39 현장 실적 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#128
129,고용형,품질관리,"제공된 검사·추적 자료 분석, 원인 가설·시정계획·고객 대응자료·전자 기록 관리",규격·샘플링·측정계·로트·공정변경·클레임·반품,실물 검사·파괴 시험·현장 시정; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,재검 합격만으로 원인 제거를 선언하거나 측정오차·유출 범위를 놓치면 실패,"M18 증거·원인가설, M54 측정계·재현, M25 로트 추적, M35 시정 효과 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#129
130,고용형,공정 엔지니어,"공정 데이터 분석·조건안·표준서·실험계획, 제공된 시험 결과 검토·변경 인계",공정도·레시피·설비·재료·측정·수율·실험·변경,설비 조작·현장 공정 실험; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,짧은 평균 개선을 안정된 양산 효과로 바꾸면 실패,"M53 공정모형, M54 실험·장기 검증, M21 공정지식, M39 실측·파일럿 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#130
